cell50,year,species,species_count,total_mammal_count_same_cell
2110,2017,striped_skunk,0,3
2110,2018,striped_skunk,0,4
2110,2019,striped_skunk,0,5
2110,2020,striped_skunk,1,4
2110,2021,striped_skunk,0,3
2110,2022,striped_skunk,0,4
2110,2023,striped_skunk,0,1
2110,2024,striped_skunk,1,10
2110,2025,striped_skunk,0,10
2111,2018,striped_skunk,0,1
2111,2020,striped_skunk,0,6
2111,2021,striped_skunk,0,6
2111,2022,striped_skunk,0,9
2111,2023,striped_skunk,0,23
2111,2024,striped_skunk,1,16
2111,2025,striped_skunk,0,17
2115,2012,striped_skunk,0,3
2115,2013,striped_skunk,0,11
2115,2014,striped_skunk,0,9
2115,2015,striped_skunk,0,4
2115,2016,striped_skunk,0,6
2115,2017,striped_skunk,0,2
2115,2018,striped_skunk,0,6
2115,2019,striped_skunk,0,9
2115,2020,striped_skunk,1,21
2115,2021,striped_skunk,0,4
2115,2022,striped_skunk,0,18
2115,2023,striped_skunk,0,20
2115,2024,striped_skunk,0,18
2115,2025,striped_skunk,0,17
2116,2013,striped_skunk,0,2
2116,2014,striped_skunk,0,2
2116,2016,striped_skunk,0,2
2116,2017,striped_skunk,0,2
2116,2018,striped_skunk,2,84
2116,2019,striped_skunk,3,38
2116,2020,striped_skunk,1,59
2116,2021,striped_skunk,0,187
2116,2022,striped_skunk,0,102
2116,2023,striped_skunk,2,60
2116,2024,striped_skunk,0,31
2116,2025,striped_skunk,0,15
2117,2008,striped_skunk,0,1
2117,2010,striped_skunk,0,4
2117,2011,striped_skunk,1,3
2117,2013,striped_skunk,0,2
2117,2014,striped_skunk,0,7
2117,2016,striped_skunk,0,1
2117,2017,striped_skunk,0,1
2117,2018,striped_skunk,0,10
2117,2019,striped_skunk,0,13
2117,2020,striped_skunk,0,42
2117,2021,striped_skunk,0,27
2117,2022,striped_skunk,1,23
2117,2023,striped_skunk,0,19
2117,2024,striped_skunk,0,15
2117,2025,striped_skunk,0,9
2119,2013,striped_skunk,0,4
2119,2014,striped_skunk,0,9
2119,2015,striped_skunk,0,5
2119,2016,striped_skunk,0,2
2119,2017,striped_skunk,1,8
2119,2018,striped_skunk,0,5
2119,2019,striped_skunk,0,23
2119,2020,striped_skunk,0,26
2119,2021,striped_skunk,1,15
2119,2022,striped_skunk,0,14
2119,2023,striped_skunk,2,30
2119,2024,striped_skunk,2,43
2119,2025,striped_skunk,1,47
2120,2011,striped_skunk,0,1
2120,2016,striped_skunk,0,1
2120,2018,striped_skunk,0,1
2120,2019,striped_skunk,0,2
2120,2020,striped_skunk,0,8
2120,2021,striped_skunk,1,13
2120,2022,striped_skunk,1,27
2120,2023,striped_skunk,0,36
2120,2024,striped_skunk,2,28
2120,2025,striped_skunk,0,28
2121,2017,striped_skunk,0,1
2121,2018,striped_skunk,0,3
2121,2019,striped_skunk,0,3
2121,2020,striped_skunk,0,3
2121,2021,striped_skunk,1,5
2121,2022,striped_skunk,0,6
2121,2023,striped_skunk,0,4
2121,2024,striped_skunk,0,3
2121,2025,striped_skunk,0,6
2122,2013,striped_skunk,0,6
2122,2015,striped_skunk,0,2
2122,2018,striped_skunk,0,6
2122,2019,striped_skunk,1,15
2122,2020,striped_skunk,0,22
2122,2021,striped_skunk,0,8
2122,2022,striped_skunk,2,14
2122,2023,striped_skunk,1,14
2122,2024,striped_skunk,0,19
2122,2025,striped_skunk,2,18
2123,2016,striped_skunk,0,1
2123,2017,striped_skunk,0,1
2123,2018,striped_skunk,0,2
2123,2020,striped_skunk,0,1
2123,2021,striped_skunk,1,6
2123,2022,striped_skunk,0,3
2123,2023,striped_skunk,0,5
2123,2024,striped_skunk,1,12
2123,2025,striped_skunk,1,7
2128,2011,striped_skunk,0,1
2128,2012,striped_skunk,0,1
2128,2014,striped_skunk,0,1
