cell50,x50,y50,lon,lat
222,-1750000,2785000,-118.830049766138,46.152469381733
230,-1350000,2785000,-113.749260122114,46.9175251022855
263,300000,2785000,-92.0115504398173,48.0049117563328
264,350000,2785000,-91.3477975209589,47.9843065564997
265,400000,2785000,-90.6845036809804,47.9605399161754
266,450000,2785000,-90.0217221165395,47.9336226989668
275,2250000,2785000,-67.003702269256,44.9401012433577
276,-2200000,2735000,-124.204066766455,44.6442928387483
311,-450000,2735000,-101.936847578737,47.4815793944936
328,400000,2735000,-90.7213647962847,47.5082714380863
333,1950000,2735000,-70.8446113305664,45.2667870166081
338,2200000,2735000,-67.7959203736645,44.6443029250288
339,2250000,2735000,-67.1930813361053,44.5116647668273
340,-2200000,2685000,-124.02051480128,44.2150317416184
341,-2150000,2685000,-123.418816042547,44.3440382879704
351,-1650000,2685000,-117.283235541405,45.4832124352776
372,-600000,2685000,-103.853473997981,46.9322633813244
400,850000,2685000,-84.8996139174757,46.7074451795175
401,900000,2685000,-84.2530916965949,46.6533170768607
402,1800000,2685000,-72.8545671804252,45.1707175557146
404,1900000,2685000,-71.623004821057,44.9483239475011
409,2150000,2685000,-68.5811796096497,44.3440438142203
410,2200000,2685000,-67.9794674536805,44.2150381678463
411,-2250000,2635000,-124.435259844348,43.6551450404467
412,-2200000,2635000,-123.839272783142,43.7858946602512
413,-2150000,2635000,-123.241020315883,43.9139794798716
418,-1900000,2635000,-120.217046733838,44.5138749510824
423,-1650000,2635000,-117.14211868524,45.0447555045143
437,-950000,2635000,-108.308334979104,46.1489918211042
467,550000,2635000,-88.8475490096495,46.5178274876557
472,800000,2635000,-85.6182444965821,46.3100560057281
474,900000,2635000,-84.3328128514277,46.2056954551487
475,950000,2635000,-83.6916711082702,46.148994515225
476,1650000,2635000,-74.8578824783345,45.0447534768746
480,1850000,2635000,-72.3940193534542,44.6256304954353
482,1950000,2635000,-71.1739155676505,44.3993521111248
483,2000000,2635000,-70.5669648684642,44.2820880757187
485,2100000,2635000,-69.3594555418116,44.0393876523552
487,-2250000,2585000,-124.252908473791,43.2270138462449
492,-2000000,2585000,-121.26794712867,43.8495258225942
501,-1550000,2585000,-115.76745079886,44.7977710589561
504,-1400000,2585000,-113.901713752693,45.0631504965151
508,-1200000,2585000,-111.392409141963,45.3765718394876
511,-1050000,2585000,-109.495920215788,45.5809124526407
513,-950000,2585000,-108.225458573855,45.702350907151
535,150000,2585000,-94.0592177182096,46.2398094337721
540,400000,2585000,-90.8289662145582,46.1554906304032
552,1600000,2585000,-75.613984086982,44.7036027269212
556,1800000,2585000,-73.157654155756,44.298761588991
557,1850000,2585000,-72.5482698612843,44.190578652805
559,1950000,2585000,-71.3354244189059,43.9659451531973
561,2050000,2585000,-70.130750482445,43.7303904946378
577,-1600000,2535000,-116.252309048834,44.2650163946775
586,-1150000,2535000,-110.663302305625,45.0034382707282
587,-1100000,2535000,-110.035201559448,45.0710303440364
588,-1050000,2535000,-109.405868264151,45.135693329813
590,-950000,2535000,-108.143685415987,45.2561899812953
614,250000,2535000,-92.7880089330394,45.7650581740919
619,500000,2535000,-89.5833423846974,45.651075919042
621,600000,2535000,-88.3051462808225,45.5843111277556
623,700000,2535000,-87.0297375718231,45.5055115743115
626,850000,2535000,-85.1228215240955,45.3648515680317
630,1550000,2535000,-76.3624400641775,44.3584851192762
631,1600000,2535000,-75.7476909873557,44.2650152147975
636,1850000,2535000,-72.7005580818272,43.7557309238421
640,2050000,2535000,-70.2972525240066,43.2988150397333
641,-2300000,2485000,-124.478734103208,42.2401837380402
644,-2150000,2485000,-122.720845874191,42.6243915622295
647,-2000000,2485000,-120.943977452531,42.9848136049231
648,-1950000,2485000,-120.347633806713,43.099601072013
662,-1250000,2485000,-111.810649827634,44.4167791744156
663,-1200000,2485000,-111.189160078257,44.4896471530197
664,-1150000,2485000,-110.566351563484,44.5596381394927
665,-1100000,2485000,-109.942281756302,44.6267200072128
691,200000,2485000,-93.4473110752318,45.3289737958295
692,250000,2485000,-92.8095686515521,45.3153881622798
696,450000,2485000,-90.2620471071384,45.2309273564032
701,700000,2485000,-87.0896376733413,45.0578686849942
709,1600000,2485000,-75.8796823277778,43.8266880223484
713,1800000,2485000,-73.4530532043718,43.4276991027857
715,1900000,2485000,-72.2506779925283,43.2116874301947
716,1950000,2485000,-71.6523647669208,43.0996007467112
717,2000000,2485000,-71.0560185015014,42.98481471806
719,-2300000,2435000,-124.299793014567,41.8129859629171
721,-2200000,2435000,-123.136530913111,42.0700292366841
722,-2150000,2435000,-122.55172534765,42.1946362667832
728,-1850000,2435000,-119.000607697898,42.886529426726
732,-1650000,2435000,-116.59560321101,43.2936878484815
733,-1600000,2435000,-115.990013070743,43.3885900388682
740,-1250000,2435000,-111.707079475952,43.974396823416
741,-1200000,2435000,-111.089517958523,44.046729682195
742,-1150000,2435000,-110.470664190897,44.1161945853347
751,-700000,2435000,-104.851262660311,44.6106775531333
770,250000,2435000,-92.8308393923178,44.8662162294061
772,350000,2435000,-91.5647478858583,44.8302842826653
775,500000,2435000,-89.6687094846518,44.7539990240963
776,550000,2435000,-89.0377414589825,44.7226167010406
787,1550000,2435000,-76.6172320991998,43.4807112989759
792,1800000,2435000,-73.5979595890574,42.9924262557409
793,1850000,2435000,-72.9993933692596,42.8865313302364
795,1950000,2435000,-71.8078661765002,42.6666103833826
796,2000000,2435000,-71.2149800875281,42.5526120433965
797,2050000,2435000,-70.6240623751125,42.4359395804545
798,-2300000,2385000,-124.123015095427,41.3857456742146
801,-2150000,2385000,-122.384678405906,41.7648910121543
820,-1200000,2385000,-110.991161093688,43.604116470305
821,-1150000,2385000,-110.376216433854,43.6730727467328
831,-650000,2385000,-104.168071180809,44.2038644359555
832,-600000,2385000,-103.542499876349,44.2409010462438
850,300000,2385000,-92.2228012619033,44.4011562788399
853,450000,2385000,-90.3379241138861,44.3343301678861
869,1450000,2385000,-77.9540030197454,43.2167651733008
870,1500000,2385000,-77.3473329378042,43.1308552706144
872,1600000,2385000,-76.1386426011461,42.9506877621942
878,1900000,2385000,-72.5527918934419,42.3442545476635
879,1950000,2385000,-71.9614346016644,42.2337015241572
880,2000000,2385000,-71.3719725456766,42.1204748425518
881,2050000,2385000,-70.7844432667298,42.0045880626455
882,2100000,2385000,-70.1988813401593,41.8860550202977
884,-2350000,2335000,-124.520458302906,40.8277361077426
