cell50,n,x50,y50,in_range
575,0,-1700000,2535000,FALSE
576,0,-1650000,2535000,FALSE
577,0,-1600000,2535000,TRUE
578,1,-1550000,2535000,TRUE
579,0,-1500000,2535000,TRUE
580,0,-1450000,2535000,TRUE
581,3,-1400000,2535000,TRUE
582,3,-1350000,2535000,TRUE
583,3,-1300000,2535000,TRUE
584,6,-1250000,2535000,TRUE
585,18,-1200000,2535000,TRUE
586,78,-1150000,2535000,TRUE
587,149,-1100000,2535000,FALSE
588,26,-1050000,2535000,FALSE
589,0,-1000000,2535000,FALSE
590,0,-950000,2535000,FALSE
591,0,-900000,2535000,FALSE
592,0,-850000,2535000,FALSE
593,0,-800000,2535000,FALSE
594,0,-750000,2535000,FALSE
595,0,-700000,2535000,FALSE
596,0,-650000,2535000,FALSE
597,0,-600000,2535000,FALSE
598,0,-550000,2535000,FALSE
599,0,-500000,2535000,FALSE
600,0,-450000,2535000,FALSE
601,0,-400000,2535000,FALSE
602,0,-350000,2535000,FALSE
604,0,-250000,2535000,FALSE
605,0,-200000,2535000,FALSE
606,0,-150000,2535000,FALSE
607,0,-100000,2535000,FALSE
608,0,-50000,2535000,FALSE
609,0,0,2535000,FALSE
610,0,50000,2535000,FALSE
611,0,100000,2535000,FALSE
612,0,150000,2535000,FALSE
613,0,200000,2535000,FALSE
614,0,250000,2535000,FALSE
615,0,300000,2535000,FALSE
616,0,350000,2535000,FALSE
617,0,400000,2535000,FALSE
618,1,450000,2535000,FALSE
619,0,500000,2535000,TRUE
620,1,550000,2535000,TRUE
621,0,600000,2535000,TRUE
622,0,650000,2535000,TRUE
623,0,700000,2535000,TRUE
625,0,800000,2535000,FALSE
626,0,850000,2535000,FALSE
627,0,900000,2535000,FALSE
628,0,950000,2535000,FALSE
629,0,1000000,2535000,FALSE
630,1,1550000,2535000,TRUE
631,1,1600000,2535000,TRUE
632,2,1650000,2535000,TRUE
633,13,1700000,2535000,TRUE
634,5,1750000,2535000,TRUE
635,41,1800000,2535000,TRUE
636,138,1850000,2535000,TRUE
637,82,1900000,2535000,TRUE
638,12,1950000,2535000,TRUE
639,6,2000000,2535000,TRUE
640,0,2050000,2535000,TRUE
641,0,-2300000,2485000,FALSE
642,0,-2250000,2485000,FALSE
643,0,-2200000,2485000,FALSE
