cell50,n,x50,y50,in_range
632,32,1650000,2535000,TRUE
633,65,1700000,2535000,TRUE
634,37,1750000,2535000,TRUE
635,233,1800000,2535000,TRUE
636,335,1850000,2535000,TRUE
637,548,1900000,2535000,TRUE
638,111,1950000,2535000,TRUE
639,71,2000000,2535000,TRUE
640,61,2050000,2535000,TRUE
641,0,-2300000,2485000,TRUE
642,0,-2250000,2485000,TRUE
643,0,-2200000,2485000,TRUE
644,0,-2150000,2485000,TRUE
645,0,-2100000,2485000,TRUE
646,0,-2050000,2485000,TRUE
647,0,-2000000,2485000,TRUE
648,0,-1950000,2485000,TRUE
649,0,-1900000,2485000,TRUE
650,0,-1850000,2485000,TRUE
651,0,-1800000,2485000,FALSE
652,0,-1750000,2485000,FALSE
653,0,-1700000,2485000,FALSE
654,0,-1650000,2485000,FALSE
655,5,-1600000,2485000,FALSE
656,0,-1550000,2485000,TRUE
657,0,-1500000,2485000,TRUE
658,0,-1450000,2485000,TRUE
659,0,-1400000,2485000,TRUE
660,0,-1350000,2485000,TRUE
661,0,-1300000,2485000,TRUE
662,1,-1250000,2485000,TRUE
663,3,-1200000,2485000,TRUE
664,1,-1150000,2485000,TRUE
665,0,-1100000,2485000,TRUE
666,4,-1050000,2485000,TRUE
667,0,-1000000,2485000,TRUE
668,2,-950000,2485000,TRUE
669,5,-900000,2485000,TRUE
670,10,-850000,2485000,TRUE
671,1,-800000,2485000,TRUE
672,0,-750000,2485000,TRUE
674,0,-650000,2485000,TRUE
675,0,-600000,2485000,TRUE
676,0,-550000,2485000,TRUE
677,0,-500000,2485000,TRUE
681,0,-300000,2485000,TRUE
682,0,-250000,2485000,TRUE
683,0,-200000,2485000,TRUE
685,1,-100000,2485000,TRUE
686,5,-50000,2485000,TRUE
687,10,0,2485000,TRUE
688,14,50000,2485000,TRUE
689,12,100000,2485000,TRUE
690,111,150000,2485000,TRUE
691,462,200000,2485000,TRUE
692,304,250000,2485000,TRUE
693,24,300000,2485000,TRUE
694,10,350000,2485000,TRUE
695,4,400000,2485000,TRUE
696,4,450000,2485000,TRUE
697,45,500000,2485000,TRUE
698,12,550000,2485000,TRUE
699,21,600000,2485000,TRUE
700,18,650000,2485000,TRUE
701,53,700000,2485000,TRUE
703,85,800000,2485000,TRUE
704,50,850000,2485000,TRUE
705,42,900000,2485000,TRUE
706,5,950000,2485000,TRUE
707,9,1000000,2485000,TRUE
708,41,1550000,2485000,TRUE
709,19,1600000,2485000,TRUE
710,71,1650000,2485000,TRUE
711,32,1700000,2485000,TRUE
712,41,1750000,2485000,TRUE
713,124,1800000,2485000,TRUE
714,109,1850000,2485000,TRUE
715,274,1900000,2485000,TRUE
716,185,1950000,2485000,TRUE
717,328,2000000,2485000,TRUE
718,45,2050000,2485000,TRUE
719,0,-2300000,2435000,FALSE
720,0,-2250000,2435000,FALSE
721,0,-2200000,2435000,FALSE
722,0,-2150000,2435000,TRUE
