"model","chain","n_draws","n_chunks","param","rhat_all_chunks","rhat_resumed_only"
"bobcat_v1fix_national_scalar","3",50000,5,"occ_beta[4]",1.03808942335776,1.01557979347486
"bobcat_v1fix_national_scalar","3",50000,5,"occ_beta[5]",1.04271214968454,1.02289708278351
"bobcat_v1fix_national_scalar","3",50000,5,"occ_beta[6]",1.01313417672196,1.00445085800622
"bobcat_v1fix_national_scalar","3",50000,5,"occ_beta[7]",1.00316737520159,1.00220526892573
"bobcat_v1fix_national_scalar","3",50000,5,"occ_beta[8]",1.17870839277563,1.18239617364938
"bobcat_v1fix_national_scalar","3",50000,5,"occ_beta[9]",1.11592069241316,1.10488824001642
"bobcat_v1fix_national_scalar","3",50000,5,"occ_beta[10]",1.16005997127124,1.15393020443694
"bobcat_v1fix_national_scalar","3",50000,5,"overdisp_inat",1.04208266189853,1.00897088726464
"bobcat_v1fix_national_scalar","3",50000,5,"p_beta[1]",1.05918983740008,1.05855763646964
"bobcat_v1fix_national_scalar","3",50000,5,"p_beta[2]",1.07011673717394,1.07017057219949
"bobcat_v1fix_national_scalar","3",50000,5,"p_beta[3]",1.02097934785597,1.01733459792385
"bobcat_v1fix_national_scalar","3",50000,5,"p_beta[4]",1.0095139200986,1.00130312571674
"bobcat_v1fix_national_scalar","3",50000,5,"theta0",1.06785035300964,1.05114965418702
"bobcat_v1fix_national_scalar","3",50000,5,"theta1",1.0828472253966,1.06928727575121
"bobcat_v1fix_national_scalar","3",50000,5,"total_var_beta",1.09823716297743,1.07971196776747
"bobcat_v1fix_national_scalar","3",50000,5,"trend_robust_indicator",1.28021988552042,1.29443989135164
"bobcat_v1fix_national_scalar","3",50000,5,"year_beta",1.02646521805641,1.02569420778987
"bobcat_v1fix_national_scalar","3",50000,5,"year_var",1.08941669812467,1.07781506541013
"bobcat_v1fix_ecoregion","1",50000,5,"MCMT_tau",1.03241324497895,1.00019172711935
"bobcat_v1fix_ecoregion","1",50000,5,"MWMT_tau",1.03280528069607,1.00061022288717
"bobcat_v1fix_ecoregion","1",50000,5,"det_intercept",1.04882724430147,1.03606526787611
"bobcat_v1fix_ecoregion","1",50000,5,"intercept_tau",1.03319602155989,1.00125161566644
"bobcat_v1fix_ecoregion","1",50000,5,"occ_beta[1]",1.04310603982681,1.04284895893315
"bobcat_v1fix_ecoregion","1",50000,5,"occ_beta[2]",1.01046169302973,1.00344585864914
"bobcat_v1fix_ecoregion","1",50000,5,"occ_beta[3]",1.02249794726808,1.00250084392504
"bobcat_v1fix_ecoregion","1",50000,5,"occ_beta[4]",1.01805752234121,1.00395442536833
"bobcat_v1fix_ecoregion","1",50000,5,"occ_beta[5]",1.0240972324309,1.00561976444551
"bobcat_v1fix_ecoregion","1",50000,5,"occ_beta[6]",1.0081111810305,1.00474815267382
"bobcat_v1fix_ecoregion","1",50000,5,"occ_beta[7]",1.00203769391619,1.00149506668935
"bobcat_v1fix_ecoregion","1",50000,5,"occ_beta[8]",1.14328786110898,1.13862569375476
"bobcat_v1fix_ecoregion","1",50000,5,"occ_beta[9]",1.11092411396807,1.0961171440666
"bobcat_v1fix_ecoregion","1",50000,5,"occ_beta[10]",1.13450297781728,1.11906101993351
"bobcat_v1fix_ecoregion","1",50000,5,"overdisp_inat",1.03489032840857,1.00191174876812
"bobcat_v1fix_ecoregion","1",50000,5,"p_beta[1]",1.09881001479898,1.09973960877978
"bobcat_v1fix_ecoregion","1",50000,5,"p_beta[2]",1.11082776037337,1.11045887361398
"bobcat_v1fix_ecoregion","1",50000,5,"p_beta[3]",1.0099641512874,1.01068718481931
"bobcat_v1fix_ecoregion","1",50000,5,"p_beta[4]",1.01263858531415,1.00330066827978
"bobcat_v1fix_ecoregion","1",50000,5,"sigma_region",1.01369185521882,1.01289574445074
"bobcat_v1fix_ecoregion","1",50000,5,"theta0",1.06335478515098,1.0572356185797
"bobcat_v1fix_ecoregion","1",50000,5,"theta1",1.05641768464761,1.05466979149241
"bobcat_v1fix_ecoregion","1",50000,5,"total_var_beta",1.03062576910862,1.02602020347208
"bobcat_v1fix_ecoregion","1",50000,5,"trend_robust_indicator",1.00171586042705,1.00196715743378
"bobcat_v1fix_ecoregion","1",50000,5,"year_beta",1.01112889651079,1.00958354037943
"bobcat_v1fix_ecoregion","1",50000,5,"year_region[1]",1.01232256381618,1.01171746289509
"bobcat_v1fix_ecoregion","1",50000,5,"year_region[2]",1.02004134844835,1.01671721092208
"bobcat_v1fix_ecoregion","1",50000,5,"year_region[3]",1.008939896607,1.00760124821699
"bobcat_v1fix_ecoregion","1",50000,5,"year_region[4]",1.04284638723856,1.03148955696845
"bobcat_v1fix_ecoregion","1",50000,5,"year_region[5]",1.0236307976402,1.01762948803394
"bobcat_v1fix_ecoregion","1",50000,5,"year_region[6]",1.00746875195876,1.00823436961418
"bobcat_v1fix_ecoregion","1",50000,5,"year_region[7]",1.01177975715829,1.01312389196614
"bobcat_v1fix_ecoregion","1",50000,5,"year_region[8]",1.00377517520359,1.00407592769528
"bobcat_v1fix_ecoregion","1",50000,5,"year_var",1.02915039702431,1.02846987254689
"bobcat_v1fix_ecoregion","2",50000,5,"MCMT_tau",1.03241038708445,1.00030592545504
"bobcat_v1fix_ecoregion","2",50000,5,"MWMT_tau",1.03237840993461,1.00026618673678
"bobcat_v1fix_ecoregion","2",50000,5,"det_intercept",1.02455944559157,1.00739764963594
"bobcat_v1fix_ecoregion","2",50000,5,"intercept_tau",1.033055310736,1.00096759187089
"bobcat_v1fix_ecoregion","2",50000,5,"occ_beta[1]",1.018915229508,1.01832006960013
